,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
78,假日,紅區,咖啡館,1,0.0,0.0,0.0
79,假日,紅區,家用電器或家具,1,0.0,0.0,0.0
80,假日,紅區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,1.0,0.0
38,假日,熱區_中山,文具書籍、出版、教育休閒及玩具娛樂用品店,5,2.0,2.0,0.0
146,假日,黃區,旅館,4,0.0,0.0,0.0
84,假日,紅區,診所或醫療用品相關,4,1.0,1.0,0.0
89,假日,紅區,飲料及冰果店,7,2.0,2.0,0.0
65,假日,熱區_西門町,診所或醫療用品相關,11,4.0,4.0,0.0
68,假日,熱區_西門町,量販店及超級市場,4,1.0,2.0,-1.0
54,假日,熱區_西門町,停車場,6,2.0,3.0,-1.0
151,假日,黃區,連鎖速食店,2,0.0,1.0,-1.0
123,假日,西門町,健康俱樂部,1,0.0,1.0,-1.0
55,假日,熱區_西門町,健康俱樂部,1,0.0,1.0,-1.0
49,假日,熱區_中山,電影,1,0.0,1.0,-1.0
126,假日,西門町,家用電器或家具,5,0.0,1.0,-1.0
144,假日,黃區,咖啡館,1,0.0,1.0,-1.0
116,假日,綠區,診所或醫療用品相關,3,1.0,2.0,-1.0
149,假日,黃區,診所或醫療用品相關,1,0.0,1.0,-1.0
33,假日,熱區_中山,停車場,11,2.0,3.0,-1.0
75,假日,紅區,停車場,1,0.0,1.0,-1.0
76,假日,紅區,健康俱樂部,1,0.0,1.0,-1.0
111,假日,綠區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,2.0,-1.0
92,假日,紫區,停車場,1,0.0,1.0,-1.0
109,假日,綠區,停車場,1,0.0,1.0,-1.0
85,假日,紅區,通信服務及手機周邊相關,2,0.0,1.0,-1.0
29,假日,灰區,電影,1,0.0,1.0,-1.0
87,假日,紅區,量販店及超級市場,1,0.0,1.0,-1.0
90,假日,紅區,餐廳及飲食相關,8,3.0,4.0,-1.0
96,假日,紫區,文具書籍、出版、教育休閒及玩具娛樂用品店,1,0.0,1.0,-1.0
91,假日,紫區,便利商店,5,2.0,3.0,-1.0
22,假日,灰區,便利商店,5,2.0,3.0,-1.0
135,假日,西門町,連鎖速食店,7,1.0,3.0,-2.0
0,假日,中山,便利商店,78,32.0,34.0,-2.0
86,假日,紅區,連鎖速食店,2,0.0,2.0,-2.0
113,假日,綠區,服飾相關,7,1.0,3.0,-2.0
28,假日,灰區,量販店及超級市場,2,0.0,2.0,-2.0
94,假日,紫區,咖啡館,2,0.0,2.0,-2.0
