分區,平假日,差異,值
灰區,假日,相對全台北, -0.84
灰區,假日,相對四大商圈,-5.33
灰區,假日,相對全西門町,-6.84
紅區,假日,相對全台北,9.71
紅區,假日,相對四大商圈,5.22
紅區,假日,相對全西門町,3.71
紫區,假日,相對全台北,-1.89
紫區,假日,相對四大商圈,-6.38
紫區,假日,相對全西門町,-7.89
綠區,假日,相對全台北,20.23
綠區,假日,相對四大商圈,15.74
綠區,假日,相對全西門町,14.23
黃區,假日,相對全台北,30.71
黃區,假日,相對四大商圈,26.22
黃區,假日,相對全西門町,24.71
