分區,平假日,差異,值
灰區,平日,相對全台北,-12.39
灰區,平日,相對四大商圈,-10.73
灰區,平日,相對全西門町,-13.08
紅區,平日,相對全台北,7.28
紅區,平日,相對四大商圈,8.94
紅區,平日,相對全西門町,6.59
紫區,平日,相對全台北,-3.68
紫區,平日,相對四大商圈,-2.02
紫區,平日,相對全西門町,-4.37
綠區,平日,相對全台北,15.96
綠區,平日,相對四大商圈,17.62
綠區,平日,相對全西門町,15.27
黃區,平日,相對全台北,28.54
黃區,平日,相對四大商圈,30.2
黃區,平日,相對全西門町,27.85
