,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
305,平日,黃區,連鎖速食店,2,0.0,1.0,-1.0
286,平日,西門町,網路購物,3,0.0,1.0,-1.0
269,平日,綠區,網路購物,1,0.0,1.0,-1.0
278,平日,西門町,健康俱樂部,1,0.0,1.0,-1.0
303,平日,黃區,診所或醫療用品相關,1,0.0,1.0,-1.0
266,平日,綠區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,2.0,-1.0
231,平日,紅區,健康俱樂部,1,0.0,1.0,-1.0
176,平日,灰區,便利商店,5,2.0,3.0,-1.0
238,平日,紅區,百貨公司,1,0.0,1.0,-1.0
218,平日,熱區_西門町,網路購物,2,0.0,1.0,-1.0
210,平日,熱區_西門町,健康俱樂部,1,0.0,1.0,-1.0
181,平日,灰區,美容美體服務或化妝品相關,1,0.0,1.0,-1.0
222,平日,熱區_西門町,連鎖速食店,6,1.0,2.0,-1.0
223,平日,熱區_西門町,量販店及超級市場,4,1.0,2.0,-1.0
179,平日,灰區,旅館,4,0.0,1.0,-1.0
230,平日,紅區,停車場,1,0.0,1.0,-1.0
204,平日,熱區_中山,電影,1,0.0,1.0,-1.0
240,平日,紅區,通信服務及手機周邊相關,2,0.0,1.0,-1.0
187,平日,熱區_中山,便利商店,50,22.0,23.0,-1.0
242,平日,紅區,量販店及超級市場,1,0.0,1.0,-1.0
244,平日,紅區,飲料及冰果店,7,2.0,3.0,-1.0
245,平日,紅區,餐廳及飲食相關,8,3.0,4.0,-1.0
246,平日,紫區,便利商店,5,2.0,3.0,-1.0
247,平日,紫區,停車場,1,0.0,1.0,-1.0
158,平日,中山,博物館,1,0.0,1.0,-1.0
251,平日,紫區,文具書籍、出版、教育休閒及玩具娛樂用品店,1,0.0,1.0,-1.0
184,平日,灰區,電影,2,0.0,1.0,-1.0
191,平日,熱區_中山,咖啡館,5,1.0,3.0,-2.0
257,平日,紫區,通信服務及手機周邊相關,3,0.0,2.0,-2.0
183,平日,灰區,量販店及超級市場,2,0.0,2.0,-2.0
166,平日,中山,美容美體服務或化妝品相關,33,11.0,13.0,-2.0
193,平日,熱區_中山,文具書籍、出版、教育休閒及玩具娛樂用品店,11,2.0,4.0,-2.0
205,平日,熱區_中山,電腦及網路軟硬體相關,2,0.0,2.0,-2.0
307,平日,黃區,餐廳及飲食相關,17,5.0,7.0,-2.0
249,平日,紫區,咖啡館,2,0.0,2.0,-2.0
